Altium Designer Pick and Place Locations
C:\Users\Sergei\Documents\WaveletHardware\hardware-public\adapter-minipcie-m2e\rev3\.\Outputs\Assembly\Adapter_MPCIe_to_M2_E_REV.0_CPL.csv

========================================================================================================================
File Design Information:

Date:       30/07/24
Time:       13:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Comment","Manufacturer"
"C1","5.9750","4.3000","TopLayer","180","GRM155R71E104KE14D","Murata Electronics"
"C2","8.6500","1.5000","TopLayer","270","GRM155R71E104KE14D","Murata Electronics"
"C3","16.1500","28.9000","TopLayer","180","GRM155R71E104KE14D","Murata Electronics"
"C4","16.1500","28.0000","TopLayer","180","GRM155R71E104KE14D","Murata Electronics"
"D1","20.5000","1.2500","TopLayer","0","LTST-C190KGKT","Lite-On Inc."
"D2","23.5000","1.2500","TopLayer","180","LTST-C190KGKT","Lite-On Inc."
"FID1","7.7310","5.7500","TopLayer","0","Fiducial",""
"FID2","43.7500","28.2500","TopLayer","0","Fiducial",""
"FID3","44.0000","1.7500","TopLayer","0","Fiducial",""
"J1","24.7250","15.0000","TopLayer","0","Edge connector PCIe MiniCard",""
"J2","14.4500","26.9500","BottomLayer","270","788641001_Mating","Molex"
"J3","28.5000","2.4750","TopLayer","0","5034801000","Molex"
"J4","12.4460","12.6050","TopLayer","100","SM3ZS067U215AER1500","JAE"
"J5","24.4750","28.0000","TopLayer","90","CONMHF4-SMD-G-T","Linx Technologies Inc."
"J6","34.0000","1.9750","TopLayer","180","CONMHF4-SMD-G-T","Linx Technologies Inc."
"J7","48.2500","21.5000","TopLayer","270","0734120110","Molex"
"J8","48.2500","8.5000","TopLayer","270","0734120110","Molex"
"J9","19.5250","28.0000","TopLayer","270","CONMHF4-SMD-G-T","Linx Technologies Inc."
"J10","43.7957","14.0936","TopLayer","100","CONMHF4-SMD-G-T","Linx Technologies Inc."
"J11","48.2500","15.0000","TopLayer","270","0734120110","Molex"
"Mech1","24.1500","15.0000","TopLayer","100","960-21-12-D-AB-0","Wakefield"
"Mech2","41.5811","18.0736","TopLayer","100","SM3ZS067U215-NUT1-R2500","JAE"
"R1","17.5000","28.4500","TopLayer","90","Res-0402-1K-5%",""
"R2","18.0000","1.2500","TopLayer","0","Res-0402-1K-5%",""
"R3","23.7500","2.5000","TopLayer","0","Res-0402-1K-5%",""
"U1","5.9750","2.2750","TopLayer","360","TPS7A2018PDBVR","Texas Instruments"
