Altium Designer Pick and Place Locations
C:\Users\Sergei\Documents\WaveletHardware\hardware-public\adapter-usb-m2e\rev3\.\Outputs\Assembly\Adapter_USB3_to_M2_E_REV.0_CPL.csv

========================================================================================================================
File Design Information:

Date:       30/07/24
Time:       12:38
Revision:   Not in VersionControl
Variant:    CS
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C1","10.0000","9.0000","TopLayer","360"
"C2","8.0000","9.0000","TopLayer","180"
"C3","10.7500","25.0500","TopLayer","0"
"C4","10.7500","25.9500","TopLayer","0"
"C5","13.1999","30.1954","TopLayer","270"
"C7","17.7500","29.0000","TopLayer","180"
"C8","27.0000","29.0000","TopLayer","180"
"C9","49.4500","21.0500","TopLayer","270"
"C10","53.9000","26.6500","TopLayer","0"
"C11","13.0000","32.5000","TopLayer","360"
"D1","24.5000","2.0000","TopLayer","270"
"D2","26.5000","2.0000","TopLayer","270"
"FID1","4.0000","26.0000","TopLayer","90"
"FID2","52.5000","32.0000","TopLayer","90"
"FID3","52.5000","2.0000","TopLayer","90"
"J1","31.0000","2.4750","TopLayer","0"
"J2","3.8000","17.0000","TopLayer","270"
"J4","7.4250","25.0500","TopLayer","90"
"J6","16.6875","17.0000","TopLayer","90"
"J7","50.7000","7.4250","TopLayer","180"
"J8","51.5000","27.3250","TopLayer","0"
"J9","59.8500","4.0000","TopLayer","90"
"J10","59.8500","30.0000","TopLayer","90"
"J11","55.9750","17.0000","TopLayer","90"
"J12","59.8500","17.0000","TopLayer","90"
"L1","21.7500","30.9500","TopLayer","270"
"Mech1","46.2500","17.0000","TopLayer","90"
"R1","24.5000","4.5000","TopLayer","90"
"R2","26.5000","4.5000","TopLayer","90"
"R3","9.4000","25.5000","TopLayer","90"
"R4","51.9500","21.0500","TopLayer","90"
"R5","25.0000","29.2500","TopLayer","270"
"R6","25.0000","32.5000","TopLayer","270"
"R8","27.0000","33.0000","TopLayer","180"
"R9","27.0000","31.0000","TopLayer","180"
"R10","49.0000","22.7500","TopLayer","180"
"R11","51.1500","16.0000","TopLayer","0"
"R12","50.7000","17.3500","TopLayer","270"
"R13","48.5500","21.0500","TopLayer","90"
"R14","53.9000","27.5500","TopLayer","180"
"R15","51.1500","18.7000","TopLayer","0"
"R16","47.6500","21.0500","TopLayer","270"
"R17","53.9000","28.4500","TopLayer","0"
"R18","52.2500","14.5000","TopLayer","270"
"R19","47.2500","25.2500","TopLayer","270"
"U1","9.0000","11.5000","TopLayer","180"
"U2","16.0000","31.7000","TopLayer","180"
"U5","50.7000","22.5500","TopLayer","270"
"U6","51.5000","24.4500","TopLayer","90"
"Z1","50.7000","10.3000","TopLayer","90"
"Z2","51.2750","12.7775","TopLayer","90"
"Z3","53.4000","24.2500","TopLayer","180"
